iter	RMSE
302	755072.5883
303	753474.1791
304	751366.0522
305	749801.6514
306	748023.1548
307	745993.2332
308	744651.224
309	743117.2713
310	741796.9496
311	740475.1479
312	738615.5623
313	736899.7152
314	735711.7663
315	733803.9281
316	732520.3652
317	730728.3717
318	729457.2897
319	728192.8942
320	726736.4212
321	724987.6749
322	723366.7431
323	721961.5627
324	720387.9005
325	719092.1886
326	717212.2281
327	715697.0308
328	714483.6706
329	713254.3864
330	712004.1133
331	710276.0572
332	708980.7128
333	707297.9857
334	706097.0531
335	704476.4217
336	703285.8948
337	701882.8464
338	700699.1636
339	699084.5725
340	697895.193
341	696771.9325
342	695561.5701
343	694422.6119
344	693303.5948
345	692122.679
346	690989.6455
347	689960.8224
348	688846.0171
349	687942.3414
350	686189.0138
351	684929.6721
352	683855.8384
353	682176.6144
354	681125.689
355	680119.8856
356	679056.925
357	677381.9257
358	676402.831
359	674805.3103
360	673736.7142
361	672742.8024
362	671726.0565
363	670767.2083
364	669880.374
365	668924.5314
366	667391.2465
367	666548.008
368	665734.271
369	664887.7149
370	663988.1561
371	662501.133
372	661507.3578
373	660601.9886
374	659430.2117
375	658549.2368
376	657597.7886
377	656132.9928
378	655214.9425
379	654111.4668
380	652985.1674
381	651875.8674
382	650474.7931
383	649606.8541
384	648794.3012
385	647847.4058
386	647060.1995
387	646100.3589
388	644687.0931
389	643504.0146
390	642335.7351
391	641638.8029
392	640563.7147
393	639793.3458
394	639086.7616
395	638253.1207
396	637167.5549
397	635839.5093
398	635012.2622
399	634356.9283
400	633746.3978
401	632813.2815
402	632047.0699
403	631345.035
404	630319.9684
405	629230.59
406	628626.2376
407	627596.7159
408	627007.8821
409	626293.7067
410	625729.0273
411	624758.7088
412	623352.5146
413	621971.752
414	621387.2631
415	620408.4008
416	619840.0748
417	618842.4637
418	617888.7125
419	616808.3984
420	615575.5835
421	614551.5419
422	613357.9754
423	612709.1772
424	611640.9137
425	610967.6422
426	610123.5281
427	608647.9933
428	607748.4533
429	606491.3045
430	605411.1586
431	604486.2451
432	603860.4687
433	602850.8519
434	601944.7309
435	600752.465
436	599739.9038
437	598835.7624
438	598228.2347
439	597591.3529
440	597012.8635
441	596542.3674
442	595708.6309
443	595135.1568
444	594306.2155
445	593727.3838
446	593225.3268
447	592514.6022
448	591136.9844
449	590325.1725
450	589167.4197
451	588247.1091
452	587667.0829
453	586744.4389
454	586187.8165
455	585247.8918
456	584732.6687
457	584172.695
458	583256.6476
459	582366.4562
460	581512.9133
461	580771.3799
462	579945.4253
463	579533.3471
464	578962.9596
465	578110.9413
466	577212.4557
467	575919.5522
468	575095.5463
469	574493.9872
470	573725.3036
471	573225.3612
472	572609.4278
473	572024.1717
474	571251.3014
475	570412.4725
476	569692.3098
477	569224.1574
478	568527.822
479	567292.7633
480	566769.125
481	565895.8397
482	565143.8966
483	564151.4409
484	563358.3081
485	562694.223
486	561913.182
487	560942.3185
488	560516.7427
489	559723.8323
490	558787.9035
491	558205.6748
492	557487.6969
493	556307.9716
494	555742.0037
495	555092.7104
496	554528.9538
497	554095.4298
498	553391.3757
499	552268.9856
500	551444.7523
501	551021.7735
502	550245.7493
503	549452.3283
504	549004.1754
505	548570.3739
506	548049.987
507	547319.3843
508	546231.9296
509	545336.5171
510	544676.9497
511	544161.9826
512	543524.246
513	542902.086
514	542393.2096
515	541585.5265
516	541048.1588
517	540378.6367
518	539753.8522
519	538715.1254
520	538131.175
521	537683.0111
522	537293.0261
523	536763.8719
524	536409.7187
525	535832.036
526	535371.7757
527	534375.0111
528	533900.2844
529	533405.8808
530	533023.8113
531	532265.285
532	531803.8993
533	531104.8204
534	530403.3678
535	529797.6302
536	529112.7004
537	528465.1222
538	527815.5459
539	527199.8735
540	526525.8872
541	525933.0674
542	525384.6304
543	524738.3088
544	524210.0903
545	523614.5433
546	522662.0974
547	522082.9813
548	521165.973
549	520537.4059
550	520141.1798
551	519713.0113
552	519218.3722
553	518350.8077
554	517949.1725
555	517341.2792
556	516876.5438
557	516156.7196
558	515503.9684
559	514943.2302
560	514550.9739
561	513929.619
562	513074.8656
563	512333.7299
564	511913.7289
565	511349.1888
566	510761.1459
567	509958.9463
568	509370.7213
569	508884.6016
570	508237.0264
571	507892.3911
572	507408.0984
573	507004.2831
574	506661.7829
575	505964.4695
576	505422.7587
577	504824.2043
578	504482.0389
579	503913.8287
580	503552.2668
581	503127.4485
582	502740.4361
583	502067.9671
584	501601.0986
585	500925.497
586	500356.633
587	499837.9782
588	499395.7391
589	498979.1805
590	498438.8446
591	497704.7135
592	497343.8014
593	496784.7519
594	496211.4503
595	495821.763
596	495417.5961
597	494898.8207
598	494553.4684
599	494096.7385
600	493719.5333
601	492991.4645
602	492458.371
603	491952.1996
604	491216.8385
605	490875.7075
606	490422.5348
607	489690.0242
608	489170.4457
609	488659.8698
610	487954.0006
611	487241.4627
612	486665.494
613	486244.5667
614	485627.4417
615	485250.0652
616	484894.9376
617	484109.0012
618	483804.9448
619	483243.9656
620	482782.9269
621	482435.2693
622	481771.613
623	481307.4658
624	480784.5668
625	480309.465
626	479793.3546
627	479416.3043
628	479085.9282
629	478413.0183
630	477751.4928
631	477265.7751
632	476915.6333
633	476329.652
634	475832.5799
635	475313.3304
636	474891.617
637	474148.64
638	473707.3894
639	473283.4403
640	472623.5783
641	472124.6308
642	471872.3261
643	471140.2831
644	470428.3044
645	469910.1223
646	469207.22
647	468807.6749
648	468174.2403
649	467751.9042
650	467082.7981
651	466740.6679
652	466453.5445
653	466018.7675
654	465571.5295
655	464901.0932
656	464496.106
657	463836.3612
658	463436.6733
659	462778.577
660	462344.5163
661	461922.8926
662	461291.5193
663	460699.9927
664	460228.468
665	459618.5747
666	458945.9762
667	458696.2274
668	458246.9717
669	457714.4864
670	457031.9724
671	456611.0817
672	456276.907
673	455881.6543
674	455455.2423
675	455044.234
676	454423.3569
677	454121.2202
678	453504.6762
679	452858.2055
680	452438.3094
681	452172.4923
682	451876.14
683	451481.6549
684	451112.8491
685	450860.2623
686	450475.8881
687	450106.9704
688	449766.1464
689	449160.8832
690	448900.704
691	448314.3313
692	447692.9442
693	447311.268
694	446917.1174
695	446670.1516
696	446324.8425
697	445714.6792
698	445467.8931
699	445137.1045
700	444741.4171
701	444136.436
702	443628.9865
703	443083.2241
704	442684.8853
705	442318.856
706	442051.9927
707	441709.8724
708	441454.3751
709	441201.5685
710	441002.1115
711	440498.7583
712	439953.104
713	439596.2997
714	439318.0908
715	439082.943
716	438698.0188
717	438340.3052
718	438010.5413
719	437574.8472
720	436991.2443
721	436432.6451
722	435853.529
723	435301.5691
724	434947.2978
725	434391.5873
726	434055.8836
727	433566.1984
728	433245.2278
729	432906.5105
730	432658.5715
731	432344.2581
732	432148.693
733	431580.7845
734	431181.3031
735	430632.7644
736	430313.964
737	430009.6755
738	429653.9673
739	429177.9207
740	428655.5258
741	428126.7172
742	427593.3133
743	427241.1961
744	427027.1556
745	426710.857
746	426197.6965
747	425858.7102
748	425515.0639
749	425183.5887
750	424626.5216
751	424291.8121
752	423809.9336
753	423454.4094
754	423248.6966
755	423015.6857
756	422500.5318
757	422300.7565
758	422055.4923
759	421729.1238
760	421142.6624
761	420809.6768
762	420454.3347
763	420093.3336
764	419810.151
765	419597.2408
766	419096.6407
767	418594.6844
768	418400.2819
769	418097.2065
770	417755.7866
771	417521.3739
772	417219.9172
773	416994.3045
774	416500.0685
775	416266.2284
776	415982.6757
777	415543.8313
778	415333.8158
779	414873.2858
780	414512.63
781	414031.1829
782	413798.0401
783	413520.8145
784	413244.8842
785	412649.7416
786	412049.2017
787	411847.8448
788	411419.9918
789	411076.7208
790	410680.5593
791	410335.1049
792	409988.0764
793	409688.25
794	409215.5472
795	408754.7679
796	408601.0295
797	408404.3742
798	408182.4664
799	407960.7723
800	407643.8323
801	407200.3232
802	407013.7065
803	406740.8995
804	406149.7922
805	405870.5122
806	405680.4386
807	405154.2431
808	404925.2092
809	404511.8294
810	404049.7386
811	403733.925
812	403257.3937
813	403013.2066
814	402715.4549
815	402325.9811
816	402059.836
817	401774.6091
818	401572.0928
819	401136.0811
820	400627.467
821	400361.0132
822	399850.6285
823	399578.5779
824	399359.8848
825	398925.0572
826	398519.5146
827	398128.7731
828	397704.0286
829	397425.4173
830	397170.2613
831	396915.3822
832	396603.3558
833	396259.1141
834	395995.6234
835	395787.5587
836	395234.4289
837	394819.2321
838	394515.3048
839	394234.695
840	393815.9896
841	393522.0434
842	393075.036
843	392675.6891
844	392469.5011
845	392215.3394
846	391909.4276
847	391711.9574
848	391431.6778
849	391228.3581
850	391045.8055
851	390790.1967
852	390587.0188
853	390409.8614
854	389903.9968
855	389415.6833
856	389188.5155
857	388936.5374
858	388471.7129
859	387930.8144
860	387683.9654
861	387412.663
862	386914.3823
863	386728.3652
864	386306.8155
865	386123.2779
866	385733.1202
867	385492.0798
868	385225.628
869	385042.6096
870	384854.6243
871	384610.0964
872	384370.842
873	384154.8612
874	383958.5698
875	383428.6163
876	383146.7665
877	382894.4675
878	382655.8881
879	382415.9253
880	382220.4423
881	381991.2068
882	381785.7923
883	381294.7043
884	380828.6657
885	380661.9227
886	380484.8856
887	380255.8429
888	379775.2597
889	379384.1555
890	379038.9152
891	378855.2164
892	378511.291
893	378253.6927
894	377759.6557
895	377487.3264
896	377206.4728
897	377009.8852
898	376763.6761
899	376520.144
900	376171.303
901	375734.058
902	375527.3182
903	375352.7042
904	375095.5242
905	374614.2506
906	374192.5469
907	374014.7543
908	373844.2302
909	373382.2778
910	373124.1243
911	372741.1553
912	372496.4608
913	372333.9962
914	371875.5003
915	371489.0129
916	371131.514
917	370922.644
918	370750.8187
919	370383.9258
920	370153.7898
921	369593.5238
922	369416.9227
923	369257.9073
924	368918.6135
925	368697.5093
926	368484.5302
927	368037.4984
928	367589.3174
929	367394.4511
930	367165.1029
931	366805.707
932	366630.8559
933	366377.4613
934	366196.9121
935	365990.6094
936	365855.1986
937	365507.5686
938	365336.3673
939	365139.2022
940	364909.5371
941	364491.2966
942	364298.8987
943	363888.6156
944	363735.6669
945	363420.0338
946	363251.2916
947	363094.8511
948	362829.2099
949	362665.8249
950	362261.9682
951	361915.7294
952	361440.8414
953	360895.9941
954	360661.7154
955	360419.3176
956	360071.2937
957	359937.9506
958	359742.9452
959	359205.1681
960	358973.1554
961	358555.2986
962	358404.474
963	358258.3904
964	358030.2367
965	357636.5115
966	357390.7113
967	357040.6883
968	356831.474
969	356611.1091
970	356272.9415
971	356089.6784
972	355823.4598
973	355444.6719
974	355125.9225
975	354936.2266
976	354791.9889
977	354628.2992
978	354458.8363
979	354154.9348
980	353947.9425
981	353578.5883
982	353430.6356
983	353027.5759
984	352691.6458
985	352532.0002
986	352361.9808
987	352214.5946
988	351969.4496
989	351810.7664
990	351488.0518
991	351355.2147
992	351062.0417
993	350935.6788
994	350799.4061
995	350560.0475
996	350393.9232
997	350097.6364
998	349725.6214
999	349556.4215
